"item","BA S/E DON GOYO 220KV BP2","BA S/E NUEVA PAN DE AZUCAR 220KV BPA","addValue"
"2023-01-12 18","0.00","0.00",""
"2023-01-12 19","0.00","0.00",""
"2023-01-12 20","145.99","148.83",""
"2023-01-12 21","223.14","227.47",""
"2023-01-12 22","226.24","230.64",""
"2023-01-12 23","233.48","238.02",""
"2023-01-12 24","226.41","230.81",""
"2023-01-13 01","228.30","232.43",""
"2023-01-13 02","160.58","163.49",""
"2023-01-13 03","152.45","155.21",""
"2023-01-13 04","152.45","155.21",""
"2023-01-13 05","152.45","155.21",""
"2023-01-13 06","152.45","155.21",""
"2023-01-13 07","152.45","155.21",""
"2023-01-13 08","110.47","112.47",""
"2023-01-13 09","22.67","23.20",""
"2023-01-13 10","0.00","0.00",""
"2023-01-13 11","0.00","0.00",""
"2023-01-13 12","0.00","0.00",""
"2023-01-13 13","0.00","0.00",""
"2023-01-13 14","0.00","0.00",""
"2023-01-13 15","0.00","0.00",""
"2023-01-13 16","0.00","0.00",""
"2023-01-13 17","0.00","0.00",""
"2023-01-13 18","0.00","0.00",""
"2023-01-13 19","0.00","0.00",""
"2023-01-13 20","111.74","113.67",""
"2023-01-13 21","204.47","208.00",""
"2023-01-13 22","173.98","176.98",""
"2023-01-13 23","150.33","152.92",""
"2023-01-13 24","150.33","152.92",""
"2023-01-14 01","153.46","154.94",""
"2023-01-14 02","153.46","154.94",""
"2023-01-14 03","153.46","154.94",""
"2023-01-14 04","153.46","154.94",""
"2023-01-14 05","153.46","154.94",""
"2023-01-14 06","149.58","151.02",""
"2023-01-14 07","140.53","141.88",""
"2023-01-14 08","79.67","80.44",""
"2023-01-14 09","0.00","0.00",""
"2023-01-14 10","0.00","0.00",""
"2023-01-14 11","0.00","0.00",""
"2023-01-14 12","0.00","0.00",""
"2023-01-14 13","0.00","0.00",""
"2023-01-14 14","0.00","0.00",""
"2023-01-14 15","0.00","0.00",""
"2023-01-14 16","0.00","0.00",""
"2023-01-14 17","0.00","0.00",""
"2023-01-14 18","0.00","0.00",""
"2023-01-14 19","0.00","0.00",""
"2023-01-14 20","41.21","42.51",""
"2023-01-14 21","142.84","147.34",""
"2023-01-14 22","148.30","152.97",""
"2023-01-14 23","145.02","149.59",""
"2023-01-14 24","142.84","147.34",""
"2023-01-15 01","159.28","161.24",""
"2023-01-15 02","129.41","130.99",""
"2023-01-15 03","121.53","123.02",""
"2023-01-15 04","141.58","143.32",""
"2023-01-15 05","135.45","137.11",""
"2023-01-15 06","108.29","109.61",""
"2023-01-15 07","116.70","118.13",""
"2023-01-15 08","64.19","64.97",""
"2023-01-15 09","0.00","0.00",""
"2023-01-15 10","0.00","0.00",""
"2023-01-15 11","0.00","0.00",""
"2023-01-15 12","0.00","0.00",""
"2023-01-15 13","0.00","0.00",""
"2023-01-15 14","0.00","0.00",""
"2023-01-15 15","0.00","0.00",""
"2023-01-15 16","0.00","0.00",""
"2023-01-15 17","0.00","0.00",""
"2023-01-15 18","0.00","0.00",""
"2023-01-15 19","0.00","0.00",""
"2023-01-15 20","52.64","53.50",""
"2023-01-15 21","150.41","152.87",""
"2023-01-15 22","150.41","152.87",""
"2023-01-15 23","150.41","152.87",""
"2023-01-15 24","170.42","173.21",""
"2023-01-16 01","185.50","186.66",""
"2023-01-16 02","166.29","167.32",""
"2023-01-16 03","165.91","166.94",""
"2023-01-16 04","164.96","165.98",""
"2023-01-16 05","164.96","165.98",""
"2023-01-16 06","170.42","171.48",""
"2023-01-16 07","188.66","189.83",""
"2023-01-16 08","177.84","178.95",""
"2023-01-16 09","98.29","98.83",""
"2023-01-16 10","134.65","135.40",""
"2023-01-16 11","18.92","19.02",""
"2023-01-16 12","0.00","0.00",""
"2023-01-16 13","0.00","0.00",""
"2023-01-16 14","0.00","0.00",""
"2023-01-16 15","0.00","0.00",""
"2023-01-16 16","0.00","0.00",""
"2023-01-16 17","0.00","0.00",""
"2023-01-16 18","0.00","0.00",""
"2023-01-16 19","0.00","0.00",""
"2023-01-16 20","69.34","70.39",""
"2023-01-16 21","171.80","174.39",""
"2023-01-16 22","157.53","159.90",""
"2023-01-16 23","157.53","159.90",""
"2023-01-16 24","157.53","159.90",""
"2023-01-17 01","187.63","188.31",""
"2023-01-17 02","187.63","188.31",""
"2023-01-17 03","168.44","169.05",""
"2023-01-17 04","162.04","162.63",""
"2023-01-17 05","157.24","157.81",""
"2023-01-17 06","168.65","169.26",""
"2023-01-17 07","187.63","188.31",""
"2023-01-17 08","169.20","169.81",""
"2023-01-17 09","62.05","62.55",""
"2023-01-17 10","0.00","0.00",""
"2023-01-17 11","61.50","61.98",""
"2023-01-17 12","53.60","54.03",""
"2023-01-17 13","0.00","0.00",""
"2023-01-17 14","0.00","0.00",""
"2023-01-17 15","0.00","0.00",""
"2023-01-17 16","0.00","0.00",""
"2023-01-17 17","0.00","0.00",""
"2023-01-17 18","0.00","0.00",""
"2023-01-17 19","0.00","0.00",""
"2023-01-17 20","111.72","113.90",""
"2023-01-17 21","190.78","194.51",""
"2023-01-17 22","192.71","196.47",""
"2023-01-17 23","196.55","200.39",""
"2023-01-17 24","196.55","200.39",""
"2023-01-18 01","202.75","204.41",""
"2023-01-18 02","176.39","177.84",""
"2023-01-18 03","150.17","151.41",""
"2023-01-18 04","150.17","151.41",""
"2023-01-18 05","155.84","157.12",""
"2023-01-18 06","173.86","175.28",""
"2023-01-18 07","180.23","181.70",""
"2023-01-18 08","156.33","157.61",""
"2023-01-18 09","27.76","28.01",""
"2023-01-18 10","0.00","0.00",""
"2023-01-18 11","0.00","0.00",""
"2023-01-18 12","0.00","0.00",""
"2023-01-18 13","0.00","0.00",""
"2023-01-18 14","0.00","0.00",""
