Hora;G solar;;Fact;0,907407407
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,68448151;;;
8;4,460359716;;;
9;6,588515325;;;
10;7,508370944;;;
11;7,820351428;;;
12;7,818996831;;;
13;7,769977374;;;
14;7,714184935;;;
15;7,67456299;;;
16;7,482125639;;;
17;6,869170767;;;
18;3,845880923;;;
19;0,605770993;;;
20;0,123373816;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,704580334;;;
8;4,575077099;;;
9;6,655229198;;;
10;7,498719445;;;
11;7,763712366;;;
12;7,752621608;;;
13;7,735181179;;;
14;7,68870159;;;
15;7,6191092;;;
16;7,506762361;;;
17;7,026473274;;;
18;5,815718078;;;
19;2,258801914;;;
20;0,14147461;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,677403744;;;
8;4,553742205;;;
9;6,795429925;;;
10;7,586514224;;;
11;7,832627458;;;
12;7,799270521;;;
13;7,774887786;;;
14;7,699538361;;;
15;7,638496861;;;
16;7,546722955;;;
17;7,09293316;;;
18;5,947452578;;;
19;2,274210449;;;
20;0,126218468;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,704038496;;;
8;4,786394137;;;
9;6,99243904;;;
10;7,72442907;;;
11;7,909246817;;;
12;7,873688661;;;
13;7,848205316;;;
14;7,796476666;;;
15;7,74229281;;;
16;7,584651654;;;
17;7,209343788;;;
18;6,101791906;;;
19;2,303334271;;;
20;0,118971378;;;
21;-0,008115164;;;
22;-0,008115164;;;
23;-0,008115164;;;
0;-0,008115164;;;
1;-0,008115164;;;
2;-0,008115164;;;
3;-0,008115164;;;
4;-0,008115164;;;
5;-0,008115164;;;
6;-0,008115164;;;
7;0,777135904;;;
8;5,330518579;;;
9;7,484326858;;;
10;7,975960689;;;
11;8,0567285;;;
12;8,07941799;;;
13;8,016683244;;;
14;7,913818579;;;
15;7,848628628;;;
16;7,715031558;;;
