"item","Pan de Azúcar","BA S/E DON GOYO 220KV BP2","addValue"
"2023-01-19 05","173.43","172.71",""
"2023-01-19 06","190.36","189.57",""
"2023-01-19 07","204.96","204.12",""
"2023-01-19 08","176.84","176.11",""
"2023-01-19 09","114.56","114.01",""
"2023-01-19 10","95.71","95.25",""
"2023-01-19 11","103.39","102.88",""
"2023-01-19 12","119.17","118.58",""
"2023-01-19 13","138.34","137.66",""
"2023-01-19 14","52.25","51.99",""
"2023-01-19 15","0.00","0.00",""
"2023-01-19 16","0.00","0.00",""
"2023-01-19 17","0.00","0.00",""
"2023-01-19 18","0.00","0.00",""
"2023-01-19 19","0.00","0.00",""
"2023-01-19 20","119.79","117.09",""
"2023-01-19 21","197.99","193.54",""
"2023-01-19 22","197.99","193.54",""
"2023-01-19 23","188.32","184.08",""
"2023-01-19 24","165.52","161.79",""
"2023-01-20 01","152.99","150.06",""
"2023-01-20 02","149.55","146.69",""
"2023-01-20 03","152.36","149.45",""
"2023-01-20 04","152.62","149.70",""
"2023-01-20 05","152.62","149.70",""
"2023-01-20 06","178.82","175.39",""
"2023-01-20 07","201.64","197.79",""
"2023-01-20 08","212.94","208.87",""
"2023-01-20 09","113.36","112.05",""
"2023-01-20 10","104.05","102.84",""
"2023-01-20 11","77.10","76.20",""
"2023-01-20 12","50.70","50.10",""
"2023-01-20 13","0.00","0.00",""
"2023-01-20 14","0.00","0.00",""
"2023-01-20 15","0.00","0.00",""
"2023-01-20 16","0.00","0.00",""
"2023-01-20 17","0.00","0.00",""
"2023-01-20 18","0.00","0.00",""
"2023-01-20 19","0.00","0.00",""
"2023-01-20 20","24.80","24.11",""
"2023-01-20 21","175.09","170.28",""
"2023-01-20 22","182.86","177.84",""
"2023-01-20 23","168.79","164.15",""
"2023-01-20 24","160.65","156.23",""
"2023-01-21 01","157.42","155.11",""
"2023-01-21 02","151.73","149.51",""
"2023-01-21 03","140.84","138.78",""
"2023-01-21 04","149.96","147.76",""
"2023-01-21 05","201.60","198.63",""
"2023-01-21 06","224.37","221.07",""
"2023-01-21 07","224.37","221.07",""
"2023-01-21 08","87.00","85.73",""
"2023-01-21 09","11.76","11.64",""
"2023-01-21 10","0.00","0.00",""
"2023-01-21 11","0.00","0.00",""
"2023-01-21 12","0.00","0.00",""
"2023-01-21 13","0.00","0.00",""
"2023-01-21 14","0.00","0.00",""
"2023-01-21 15","0.00","0.00",""
"2023-01-21 16","0.00","0.00",""
"2023-01-21 17","0.00","0.00",""
"2023-01-21 18","0.00","0.00",""
"2023-01-21 19","0.00","0.00",""
"2023-01-21 20","52.91","51.67",""
"2023-01-21 21","152.04","148.48",""
"2023-01-21 22","152.12","148.57",""
"2023-01-21 23","142.64","139.30",""
"2023-01-21 24","139.73","136.46",""
"2023-01-22 01","140.08","138.91",""
"2023-01-22 02","180.66","179.15",""
"2023-01-22 03","193.13","191.51",""
"2023-01-22 04","193.13","191.51",""
"2023-01-22 05","193.13","191.51",""
"2023-01-22 06","193.13","191.51",""
"2023-01-22 07","193.13","191.51",""
"2023-01-22 08","101.30","100.45",""
"2023-01-22 09","0.00","0.00",""
"2023-01-22 10","0.00","0.00",""
"2023-01-22 11","0.00","0.00",""
"2023-01-22 12","0.00","0.00",""
"2023-01-22 13","0.00","0.00",""
"2023-01-22 14","0.00","0.00",""
"2023-01-22 15","0.00","0.00",""
"2023-01-22 16","0.00","0.00",""
"2023-01-22 17","0.00","0.00",""
"2023-01-22 18","0.00","0.00",""
"2023-01-22 19","0.00","0.00",""
"2023-01-22 20","92.61","91.91",""
"2023-01-22 21","185.21","183.81",""
"2023-01-22 22","235.37","233.59",""
"2023-01-22 23","247.46","245.60",""
"2023-01-22 24","237.44","235.65",""
"2023-01-23 01","239.19","238.75",""
"2023-01-23 02","275.66","275.16",""
"2023-01-23 03","246.48","246.03",""
"2023-01-23 04","235.87","235.44",""
"2023-01-23 05","235.87","235.44",""
"2023-01-23 06","272.69","272.20",""
"2023-01-23 07","319.48","318.91",""
"2023-01-23 08","296.22","295.69",""
"2023-01-23 09","119.21","118.76",""
"2023-01-23 10","76.03","75.75",""
"2023-01-23 11","64.06","63.82",""
"2023-01-23 12","72.65","72.37",""
"2023-01-23 13","12.11","12.06",""
"2023-01-23 14","0.00","0.00",""
"2023-01-23 15","0.00","0.00",""
"2023-01-23 16","0.00","0.00",""
"2023-01-23 17","0.00","0.00",""
"2023-01-23 18","0.00","0.00",""
"2023-01-23 19","0.00","0.00",""
"2023-01-23 20","105.50","103.84",""
"2023-01-23 21","265.81","261.61",""
"2023-01-23 22","265.81","261.61",""
"2023-01-23 23","243.93","240.07",""
"2023-01-23 24","224.74","221.19",""
"2023-01-24 01","210.91","208.18",""
"2023-01-24 02","198.95","196.37",""
"2023-01-24 03","148.24","146.32",""
"2023-01-24 04","148.90","146.97",""
