Hora;G solar;CMg;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;5,086967815;0,00;;
9;7,300606419;0,00;;
10;8,27043609;0,00;;
11;8,736368187;0,00;;
12;9,232531591;0,00;;
13;9,395117299;0,00;;
14;9,391570637;0,00;;
15;9,358270997;0,00;;
16;9,282858097;0,00;;
17;8,92875149;0,00;;
18;8,302469381;0,00;;
19;7,164161117;0,00;;
20;4,668446268;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,164567409;0,00;;
9;0,841114711;0,00;;
10;8,472721235;0,00;;
11;8,942506147;0,00;;
12;9,274630778;0,00;;
13;9,331372028;0,00;;
14;9,437135165;0,00;;
15;9,389820573;0,00;;
16;9,20364914;0,00;;
17;9,011366435;0,00;;
18;8,389999924;0,00;;
19;7,185986766;0,00;;
20;4,635828875;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
1;-0,015;119,47;;
2;-0,015;108,53;;
3;-0,015;107,64;;
4;-0,015;107,64;;
5;-0,015;107,64;;
6;-0,015;107,64;;
7;-0,015;0,00;;
8;0,143571928;0,00;;
9;0,58800523;0,00;;
10;1,241222985;0,00;;
11;2,550256891;0,00;;
12;9,299562919;0,00;;
13;9,457064999;0,00;;
14;9,437355144;0,00;;
15;9,376118556;0,00;;
16;9,205314469;0,00;;
17;9,01397614;0,00;;
18;8,430512283;0,00;;
19;7,283626482;0,00;;
20;4,748356255;0,00;;
21;-0,015;135,62;;
22;-0,015;140,12;;
23;-0,015;137,74;;
24;-0,015;137,74;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,16147358;11,21;;
;0,843214895;6,49;;
;8,334677922;5,78;;
;8,793290229;0,90;;
;9,143435301;0,90;;
;9,463629625;0,90;;
;9,365717346;0,90;;
;9,405824098;0,90;;
;9,235639774;0,90;;
;8,867014336;0,90;;
;8,340940669;0,90;;
;7,221137421;0,90;;
;4,655099998;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,925069993;11,21;;
;7,329496062;6,49;;
;8,33608087;5,78;;
;8,674511877;0,90;;
;9,23018503;0,90;;
;9,391026724;0,90;;
;9,371279895;0,90;;
;9,360394434;0,90;;
;9,329177183;0,90;;
;8,948423328;0,90;;
;8,369217697;0,90;;
;7,219637372;0,90;;
;4,610327876;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;5,073016925;11,21;;
;7,447977752;6,49;;
;8,523958668;5,78;;
;9,0854956;0,90;;
;9,356604497;0,90;;
;9,531225004;0,90;;
;9,631817761;0,90;;
;9,498047227;0,90;;
;9,441934455;0,90;;
;9,162450994;0,90;;
;8,536013997;0,90;;
;7,338289193;0,90;;
;4,653237673;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;0,151822909;11,21;;
;0,89715527;6,49;;
;8,615590588;5,78;;
;9,18063099;0,90;;
;9,341797929;0,90;;
;9,597066045;0,90;;
;9,617905904;0,90;;
;9,631201466;0,90;;
;9,49175742;0,90;;
;9,247127824;0,90;;
;8,571531735;0,90;;
;7,419513093;0,90;;
;4,725540303;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,982223296;11,21;;
;7,453603178;6,49;;
;8,469476622;5,78;;
;8,990306625;0,90;;
;9,362301487;0,90;;
;9,474504637;0,90;;
;7,517276336;0,90;;
;7,107952119;0,90;;
;9,357506442;0,90;;
;9,066889323;0,90;;
;8,495762398;0,90;;
;7,317685094;0,90;;
;4,643217437;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,83222153;11,21;;
;7,287287181;6,49;;
;8,297787469;5,78;;
;8,77002638;0,90;;
;9,234795786;0,90;;
;9,410988526;0,90;;
;9,355407936;0,90;;
;9,436436208;0,90;;
;9,22364164;0,90;;
;8,945657325;0,90;;
;8,371946035;0,90;;
;7,228632433;0,90;;
;4,534538049;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,768537416;11,21;;
;7,216779457;6,49;;
;8,298895983;5,78;;
;8,94438597;0,90;;
;9,312170735;0,90;;
;9,440513162;0,90;;
;9,445422033;0,90;;
;9,350854712;0,90;;
;9,234610425;0,90;;
;9,029789213;0,90;;
;8,43162593;0,90;;
;7,247347205;0,90;;
;4,445836256;0,90;;
;-0,015;141,44;;
;-0,015;141,81;;
;-0,015;141,22;;
;-0,015;141,22;;
;-0,015;134,37;;
;-0,015;133,19;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;123,26;;
;-0,015;11,21;;
;4,709515091;11,21;;
;7,255504779;6,49;;
;8,363144937;5,78;;
;8,788531635;0,90;;
;9,038932802;0,90;;
;9,380848553;0,90;;
;9,317385716;0,90;;
;9,39124604;0,90;;
;9,338323635;0,90;;
