Hora;G solar;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;11,79628772;;
8;18,16126195;;
9;20,93036234;;
10;21,99382909;;
11;22,619832;;
12;23,47462139;;
13;23,31596429;;
14;23,5006151;;
15;23,36830908;;
16;22,55560952;;
17;21,18486314;;
18;18,02182955;;
19;10,88674513;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,387170617;;
8;18,3408673;;
9;20,90640572;;
10;22,19913619;;
11;23,29755764;;
12;23,37534431;;
13;23,8265191;;
14;23,52468636;;
15;23,25631751;;
16;22,59209495;;
17;21,23372584;;
18;18,22808778;;
19;11,04446822;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;11,81397563;;
8;18,40608742;;
9;20,74819613;;
10;21,69305168;;
11;22,99009484;;
12;23,11774607;;
13;23,18812915;;
14;23,11452566;;
15;23,01440995;;
16;22,39448036;;
17;20,98620996;;
18;18,01873902;;
19;10,91485005;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;11,55432446;;
8;18,23090711;;
9;20,78599127;;
10;21,7695949;;
11;23,15414676;;
12;23,31585014;;
13;23,44087268;;
14;23,40338895;;
15;22,88754057;;
16;22,20851338;;
17;20,7297909;;
18;17,86766015;;
19;10,61837516;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;11,49574036;;
8;18,20719399;;
9;20,75373817;;
10;22,01531576;;
11;22,8821511;;
12;23,32329888;;
13;23,40804042;;
14;23,25771001;;
15;23,21349078;;
16;22,36432533;;
17;21,0534774;;
18;18,06365167;;
19;10,55423928;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
1;-0,015;;
2;-0,015;;
3;-0,015;;
4;-0,015;;
5;-0,015;;
6;-0,015;;
7;0,329615583;;
8;18,32540245;;
9;21,22914872;;
10;22,63139898;;
11;23,23188635;;
12;23,61463744;;
13;23,76752144;;
14;23,55477035;;
15;23,21750516;;
16;22,62590584;;
17;21,12740717;;
18;18,28462601;;
19;10,73926162;;
20;-0,015;;
21;-0,015;;
22;-0,015;;
23;-0,015;;
0;-0,015;;
